	SRR17060816_R2_filtered.fastq.gz	SRR17060817_R2_filtered.fastq.gz	SRR17060818_R2_filtered.fastq.gz	SRR17060819_R2_filtered.fastq.gz	SRR17060820_R2_filtered.fastq.gz	SRR17060821_R2_filtered.fastq.gz	SRR17060822_R2_filtered.fastq.gz	SRR17060823_R2_filtered.fastq.gz	SRR17060824_R2_filtered.fastq.gz	SRR17060825_R2_filtered.fastq.gz	SRR17060826_R2_filtered.fastq.gz	SRR17060827_R2_filtered.fastq.gz	SRR17060828_R2_filtered.fastq.gz	SRR17060829_R2_filtered.fastq.gz	SRR17060830_R2_filtered.fastq.gz	SRR17060831_R2_filtered.fastq.gz	SRR17060832_R2_filtered.fastq.gz	SRR17060833_R2_filtered.fastq.gz	SRR17060834_R2_filtered.fastq.gz	SRR17060835_R2_filtered.fastq.gz	SRR17060836_R2_filtered.fastq.gz	SRR17060837_R2_filtered.fastq.gz	SRR17060838_R2_filtered.fastq.gz	SRR17060839_R2_filtered.fastq.gz	SRR17060840_R2_filtered.fastq.gz	SRR17060841_R2_filtered.fastq.gz	SRR17060842_R2_filtered.fastq.gz	SRR17060843_R2_filtered.fastq.gz	SRR17060844_R2_filtered.fastq.gz	SRR17060845_R2_filtered.fastq.gz	SRR17060846_R2_filtered.fastq.gz	SRR17060847_R2_filtered.fastq.gz
ASV_84	769	0	0	3966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3287	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	0	0	0	0	0	0	676	169	0	617	0	4659	1360	0	0	0	0	0	0	0	0	0	0	0	208	174	0	0	0	0	0	0
ASV_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2597	0	0	0	0	4557	0	328	0	0	0	0	0	0	0	0	0
ASV_87	32	133	681	0	1242	186	0	0	302	0	0	0	0	0	0	424	0	317	0	0	0	0	0	0	0	0	0	0	0	0	3829	300
ASV_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7387	0	0	0	0	0	0	0	0	0
ASV_89	306	59	56	1258	15	22	0	0	0	0	0	0	0	0	0	0	40	0	0	5540	0	0	0	0	0	0	0	0	0	0	2	0
ASV_90	0	230	1416	0	242	619	0	0	918	0	0	0	0	0	0	0	195	451	0	0	0	0	0	0	0	0	0	0	0	0	3047	154
ASV_91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6612	0	0	562	0	0	0	0	0	0	0	0	0	0
ASV_92	0	0	0	0	0	0	1491	880	0	1650	0	343	2287	213	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0
ASV_93	0	0	0	0	0	0	1876	85	0	1145	0	989	342	0	0	0	0	0	0	0	0	0	0	0	0	67	396	2041	18	17	0	0
ASV_94	0	0	0	0	0	0	306	0	0	232	0	0	126	0	0	0	0	0	0	0	0	0	0	0	3669	2417	126	26	39	32	0	0
ASV_95	0	0	0	0	0	0	1169	4511	0	1062	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_96	0	40	629	0	401	1038	0	0	1607	0	0	0	0	0	0	0	351	717	0	48	0	0	0	0	0	0	0	0	0	0	883	1171
ASV_97	0	0	0	0	0	0	224	347	0	94	4050	11	8	0	0	0	0	0	0	0	0	0	0	143	246	123	232	215	1175	0	0	0
ASV_98	0	0	79	0	213	163	0	0	301	0	0	0	0	0	0	3532	150	200	0	0	359	0	1256	0	0	0	0	0	0	0	352	229
ASV_99	29	0	0	6214	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6734	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5755	0	0	913	0	0	0	0	0	0	0	0	0	0
ASV_102	58	1000	911	0	756	658	0	0	838	0	0	0	0	0	0	0	257	898	0	0	50	0	0	0	0	0	0	0	0	0	404	835
ASV_103	0	0	0	0	0	0	3649	62	0	2413	0	103	128	0	0	0	0	0	0	0	0	0	0	0	187	74	0	0	0	0	0	0
ASV_104	0	0	0	0	0	0	453	480	0	434	0	680	4556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	1889	470	0	1975	0	219	1936	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0
ASV_106	1022	0	30	1102	0	0	0	0	0	0	0	0	0	0	140	0	266	0	0	3895	0	51	0	0	0	0	0	0	0	0	0	0
ASV_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	3799	0	0	2523	0	0	0	0	0	0	0	0	0	0
