Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17060829_1	SRR17060829_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4210.0	1 Mbp	0.0	246-251	51.0	29.144893111638954	250.7104513064133	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060829_2	SRR17060829_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4210.0	1 Mbp	0.0	61-251	51.0	27.43467933491687	250.90570071258907	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060830_1	SRR17060830_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37976.0	11.4 Mbp	0.0	232-301	53.0	19.075205392879713	299.84563935116915	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060830_2	SRR17060830_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37976.0	11.3 Mbp	0.0	232-301	54.0	14.256372445755213	299.96318727617444	300	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060831_1	SRR17060831_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	618793.0	185.9 Mbp	0.0	45-301	52.0	8.85239490427332	300.1645202838429	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060831_2	SRR17060831_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	618793.0	185.7 Mbp	0.0	45-301	52.0	9.143283779874691	300.9374588917457	301	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR17060832_1	SRR17060832_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	303939.0	91.4 Mbp	0.0	42-301	54.0	8.111167043386995	300.58385399701916	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060832_2	SRR17060832_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	303939.0	91.2 Mbp	0.0	42-301	54.0	9.255804618689934	300.94707490647795	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060833_1	SRR17060833_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	541627.0	162.9 Mbp	0.0	82-301	52.0	8.715592095667315	300.77631469627624	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060833_2	SRR17060833_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	541627.0	162.5 Mbp	0.0	82-301	53.0	7.958428955720449	300.9833317024447	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060834_1	SRR17060834_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	548465.0	164.8 Mbp	0.0	35-301	53.0	10.761124228528713	300.4696015242541	301	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060834_2	SRR17060834_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	548465.0	164.5 Mbp	0.0	35-301	52.0	10.194816442252467	300.9463940269662	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060835_1	SRR17060835_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	452575.0	135.5 Mbp	0.0	85-301	51.0	8.535601833950174	299.43974147931283	301	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060835_2	SRR17060835_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	452575.0	135.8 Mbp	0.0	85-301	51.0	8.63436999392366	300.9737015964205	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060836_1	SRR17060836_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	526852.0	158.5 Mbp	0.0	82-301	50.0	6.5099876246080495	300.9463435651758	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060836_2	SRR17060836_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	526852.0	158 Mbp	0.0	82-301	51.0	8.107020567445886	300.98797764837184	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
